1. Discovery Call — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] create a consultative discovery call script during the first 10 customers stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.
18. Elevator Pitch — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] write a concise outcome-led pitch during the relaunch stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

19. Cold Email — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] write a personalized cold outreach email during the pre-launch stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

20. Cold DM — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] create a permission-based direct message during the growth plateau stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

21. Objection Handling — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] answer a specific sales objection during the profit improvement stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

22. Proposal — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] draft a persuasive proposal structure during the premium repositioning stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

23. Follow-Up — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] write a multi-touch follow-up sequence during the first 10 customers stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

24. Closing — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] create an ethical closing conversation during the offer refinement stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

25. Upsell — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] design a relevant post-purchase upsell during the systemization stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

26. Cross-Sell — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] identify and pitch a complementary offer during the idea validation stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

27. Renewal — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] prepare a renewal conversation during the early traction stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

28. Win-Back — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] write a dormant-client win-back campaign during the market expansion stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

29. Sales Qualification — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] build a lead scoring and qualification rubric during the relaunch stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

30. Demo Script — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] structure a product demonstration during the pre-launch stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

31. Negotiation — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] prepare a value-protecting negotiation plan during the growth plateau stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

32. Referral Ask — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] write a natural referral request during the profit improvement stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

33. Discovery Call — Act as a specialist in sales prompts. Help a local service owner in [NICHE] create a consultative discovery call script during the premium repositioning stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

34. Elevator Pitch — Act as a specialist in sales prompts. Help a local service owner in [NICHE] write a concise outcome-led pitch during the first 10 customers stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

35. Cold Email — Act as a specialist in sales prompts. Help a local service owner in [NICHE] write a personalized cold outreach email during the offer refinement stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

36. Cold DM — Act as a specialist in sales prompts. Help a local service owner in [NICHE] create a permission-based direct message during the systemization stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

37. Objection Handling — Act as a specialist in sales prompts. Help a local service owner in [NICHE] answer a specific sales objection during the idea validation stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

38. Proposal — Act as a specialist in sales prompts. Help a local service owner in [NICHE] draft a persuasive proposal structure during the early traction stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

39. Follow-Up — Act as a specialist in sales prompts. Help a local service owner in [NICHE] write a multi-touch follow-up sequence during the market expansion stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

40. Closing — Act as a specialist in sales prompts. Help a local service owner in [NICHE] create an ethical closing conversation during the relaunch stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

41. Upsell — Act as a specialist in sales prompts. Help a local service owner in [NICHE] design a relevant post-purchase upsell during the pre-launch stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

42. Cross-Sell — Act as a specialist in sales prompts. Help a local service owner in [NICHE] identify and pitch a complementary offer during the growth plateau stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

43. Renewal — Act as a specialist in sales prompts. Help a local service owner in [NICHE] prepare a renewal conversation during the profit improvement stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

44. Win-Back — Act as a specialist in sales prompts. Help a local service owner in [NICHE] write a dormant-client win-back campaign during the premium repositioning stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

45. Sales Qualification — Act as a specialist in sales prompts. Help a local service owner in [NICHE] build a lead scoring and qualification rubric during the first 10 customers stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

46. Demo Script — Act as a specialist in sales prompts. Help a local service owner in [NICHE] structure a product demonstration during the offer refinement stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

47. Negotiation — Act as a specialist in sales prompts. Help a local service owner in [NICHE] prepare a value-protecting negotiation plan during the systemization stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

48. Referral Ask — Act as a specialist in sales prompts. Help a local service owner in [NICHE] write a natural referral request during the idea validation stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

49. Discovery Call — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] create a consultative discovery call script during the early traction stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

50. Elevator Pitch — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] write a concise outcome-led pitch during the market expansion stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

51. Cold Email — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] write a personalized cold outreach email during the relaunch stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

52. Cold DM — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] create a permission-based direct message during the pre-launch stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

53. Objection Handling — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] answer a specific sales objection during the growth plateau stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

54. Proposal — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] draft a persuasive proposal structure during the profit improvement stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

55. Follow-Up — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] write a multi-touch follow-up sequence during the premium repositioning stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

56. Closing — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] create an ethical closing conversation during the first 10 customers stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

57. Upsell — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] design a relevant post-purchase upsell during the offer refinement stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

58. Cross-Sell — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] identify and pitch a complementary offer during the systemization stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

59. Renewal — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] prepare a renewal conversation during the idea validation stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

60. Win-Back — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] write a dormant-client win-back campaign during the early traction stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

61. Sales Qualification — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] build a lead scoring and qualification rubric during the market expansion stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

62. Demo Script — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] structure a product demonstration during the relaunch stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

63. Negotiation — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] prepare a value-protecting negotiation plan during the pre-launch stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

64. Referral Ask — Act as a specialist in sales prompts. Help a digital product seller in [NICHE] write a natural referral request during the growth plateau stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

65. Discovery Call — Act as a specialist in sales prompts. Help a creative professional in [NICHE] create a consultative discovery call script during the profit improvement stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

66. Elevator Pitch — Act as a specialist in sales prompts. Help a creative professional in [NICHE] write a concise outcome-led pitch during the premium repositioning stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

67. Cold Email — Act as a specialist in sales prompts. Help a creative professional in [NICHE] write a personalized cold outreach email during the first 10 customers stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

68. Cold DM — Act as a specialist in sales prompts. Help a creative professional in [NICHE] create a permission-based direct message during the offer refinement stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

69. Objection Handling — Act as a specialist in sales prompts. Help a creative professional in [NICHE] answer a specific sales objection during the systemization stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

70. Proposal — Act as a specialist in sales prompts. Help a creative professional in [NICHE] draft a persuasive proposal structure during the idea validation stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

